name,city,keywords,description,location,transport,contact,since,timeFromChatelet
"1, 2, 3, contez ! Festival",Asnieres,Performance,Festival,"6, Rue Louis Armand, 92600 Asnières",Métro 13 -  Arrêt Gabriel Péri,01 41 11 14 21,2009,
LA SIRA / MAD AGENCY,Asnières,"Arts Visuels, Musique","La SIRA s’inscrit dans l’idée de faire le trait d’union entre Paris et sa banlieue à travers la culture. Collectif d'Artistes. Exposition, Fêtes electro, After parties.","6, Rue Louis Armand, 92600 Asnières",RER C - ‘Les Grésillons’,http://madagency.fr/ contact@madagency.com,2010,53mins
ESPACE FRANTERNITÉ - MAGIC MIRROR,Aubervilliers,Spectacle Vivant,"Festival Aubercail : Come hum, sing, dance and twirl in the tent of the Festival des mots-dits.", 12 rue Madeleine Vionnet - 93300 Aubervilliers,Métro 12 - Front Populaire,http://www.aubercail.fr/infos_resa.php 09 66 90 75 95,2007,39mins
FESTIVAL MUSIQUES DU MONDE,Aubervilliers,Spectacle Vivant,Association entre plusieurs villes autour Paris.,"4 Avenue de la Division Leclerc <br/>93300 Aubervilliers",,"tel. 01 48 36 34 02 <br/>info@villesdesmusiquesdumonde.com Monday to Friday: 10h/18h",1997,33mins
PRINTEMPS MUSICAL,Aubervilliers,Festival,A festival dedicated to the arrival of spring through the patrimonial artform of organ music.,"1 Rue de la Commune de Paris Aubervilliers",RER B - La courneuve-Aubervilliers,http://www.aubervilliers.fr/actu90107.html  01 48 39 52 46 http://culture.aubervilliers.fr/2013/08/08/printemps-musical-2014/,2003,38mins
LABORATOIRES D'AUBERVILLIERS,Aubervilliers,"Education, Innovation","Lieu de recherche et de <br/>création","41, rue Lécuyer<br/>93300 Aubervilliers",Métro 7 - Aubervilliers Pantin (4 chemins),"33(0)1 53 56 15 90<br/>info@leslaboratoires.org www.leslaboratoires.org",2001,32mins
ROZO ARCHITECTURE,Aubervilliers,Architecture (urbanisme),"architecture,urbanism,paysage",2 rue chapon 93330,Mérto 7 - Aubervilliers,info@rozo-archi.com www.rozo-archi.fr/‎,2008,38mins
THÉÂTRE DE LA COMMUNE,Aubervilliers,Spectacle Vivant,,"41 rue Lécuyer, 93300 Aubervilliers",Métro 7 - Aubervilliers Pantin navette gratitute pour retouner a paris.,http://www.theatredelacommune.com/ 0)1.48.33.16.16,1960,34mins
THÉÂTRE EQUESTRE ZINGARO,Aubervilliers,,,,,,,
VILLA MAIS D'ICI,Aubervilliers,,Friche Culturelle de Proximité,77 rue des Cités - 93300 - Aubervilliers,Métro 7 -  Aubervilliers Pantin Quatre Chemins,administration@villamaisdici.org; Tel : 01 41 57 00 89,,
LE CAP,Aulnay-sous-bois,"Musique, Education, Spectacle Vivant","Le Cap, lieu de diffusion entièrement dédié aux musiques actuelles offre à découvrir une programmation éclectique et dynamique à travers la musique, la danse ou encore des spectacles jeunes publics.Le Cap est aussi un laboratoire d'expérimentations musicales,","56 rue Auguste Renoir<br/>93600 Aulnay-sous-Bois",Gare de Villepinte jusqu'a Tennis,"01 48 66 40 38 <br/>lecap@aulnay-sous-bois.com www.aulnay-sous-bois.fr/culture/le-cap",2012,1h01
AUVERS'JAZZ,Auvers-sur-Oise,"Spectacle Vivant, Musique",Festival de Jazz,"Maison de L'Ile<br/>rue Marcel Martin<br/>95430 Auvers sur Oise","RER C - Pontoise. Correspondance à Pontoise direction Persan-Beaumont, arrêt à Auvers sur OIse.",01 34 48 00 10 : info@auversjazz.com http://www.auversjazz.com/,1991,1h04mins
FESTIVAL JAZZ AU FIL DE L'OISE,Auvers-sur-Oise,Musique,Festival de Jazz,"8 D Les Plants Orange<br/>95000 Cergy",RER A - Cergy-Prefecture,"01 34 48 45 03 / 06 37 24 90 34  <br/>infos@jafo95.com http://jafo95.wix.com/",1996,1h07
BABS GALERIE,Bagnolet,Arts Visuels,espace d'exposition artistique,"83, rue Sadi Carnot BAGNOLET",Line 3 - Gallieni,06 52 58 57 42 https://www.facebook.com/Babsgalerie,2013,36mins
FREE ART BUREAU,Bagnolet,"Innovation, Education",a non-profit foundation active in and promoting new practices in open culture.Research / Innovate / Create / Educate.,"Nomade // La Fonderie de l'Image, 83 Avenue Gallieni, 93170 Bagnolet",,info@freeartbureau.org www.freeartbureau.org,2011,35mins
KOSMOPOLITE,Bagnolet,Arts Visuels,Festival international de graffiti,110 rue Sadi Carnot 93170 Bagnolet,,"kosmo10ans@gmail.com, www.kosmo-art-tour.com/fr/paris.html",2002,35mins
THEATRE L'ECHANGEUR,Bagnolet,Spectacle vivant,"un laboratoire où les artistes disposent de temps pour chercher, expérimenter et inventer sans obligation de production.","59, avenue du Général de Gaulle<br/>93170 BAGNOLET","Métro 3 : Gallieni BUS 76, 102, 318 / Gll de Gaulle Vélib : rue du Château à 50m",http://www.lechangeur.org/ 01.43.62.71.20 info@lechangeur.org,1994,34mins
CLINQUE DES ARTS BIS,Bagnolet,Arts Visuels,"La Clinique des Arts Bis est une plate-forme pluridisciplinaire de créations et de diffusion artistique. La programmation est libre, et nous soutenons des projets personnels et collectifs dans tous les domaines artistiques.","60 avenue Gambetta<br/>93170 Bagnolet",Metro 3 : Gallieni,"07 61 43 36 41<br/>lacliniquedesartsbis@yahoo.fr",N/A,30mins
CAMPUS FONDERIE DE L'IMAGE,Bagnolet,"Education, Design, Arts Visuels, Innovation",A space to be trained for a career in visual communications and multimedia learning,"80 rue Jules Ferry<br/>93170 Bagnolet",Métro 3 : Gallieni,http://www.campusfonderiedelimage.org/ contact@campusfonderiedelimage.org,1991,28mins
CANAL 93,Bobigny,"Musique, Education","Canal 93 est une salle dédiée aux Musiques Actuelles.(salle de spectacle, studio de repetition et danse,","63, avenue Jean Jaurès 93000 Bobigny","Métro 5 : Pablo Picasso Tram T1 : Libération.  Bus 301 : Louise Michel, Bus 322 : Jean Jaurès , Bus 147 : La Folie Bus Nuit N13 et N45",http://www.canal93.net/,,1h01mins MC93,Bobigny,"Spectacle Vivant, Musique","Notre projet, c’est de rendre le monde visible, depuis la scène.",9 boulevard Lénine BP 71 / 93000 Bobigny,"Metro 5 : Bobigny-Pablo-Picasso Tram T1 : Hôtel de Ville de Bobigny",http://www.mc93.com/ contact@mc93.com 01 01 41 60 72 60,1980,55mins
UNIVERSITÉ PARIS 13,Bobigny,Education,Ecole pour les jeux vidéo,"1, rue de Chablis<br/>93017 Bobigny",Tram 1 : Drancy Avenir,"Tél. : 01 48 38 73 29<br/>src.iutbuniv@paris13.fr",2009,
GALLERIA CONTINUA,Boissy-le-Châtel,Arts Visuels,dédié à la création contemporaine,"46 rue de la Ferté Gaucher<br/>77169 Boissy-le-Châtel","Train from Gare de l’Est to Coulommiers.Then bus exiting the station towards la Ferté Gaucher, stop : Moulin de Boissy / Chailly-Boissy-le-Châtel.","Tel. +33(0)1.64.203950<br/>lemoulin@galleriacontinua.fr http://www.galleriacontinua.com/",2007,2hours
AU COMTE,Boulogne-Billancourt,Fooding,Specializing in fine french cuisine.,"9, av Jean-Baptiste Clément, 92100, Boulogne-Billancourt",Métro 10 : Boulogne-Jean-Jaures,01 46 03 47 27 http://aucomte.fr/ contact@aucomte.fr,n/a,40mins
BBMIX,Boulogne-Billancourt,Musique,secouer l’Ouest parisien avec sa programmation transversale et toujours surprenante.,"Carré Belle-Feuille<br/>60 rue de la Belle-Feuille<br/>92100 Boulogne Billancourt",Métro 9 : Marcel Sembat,http://bbmix.org/ bbmix@mairie-boulogne-billancourt.fr,2005,37mins
CAFE DES ARTS,Boulogne-Billancourt,"Arts Visuels, Fooding",A gallery space which also functions as a cafe.,"7, ront point Rhin et Danube, 92100 Boulogne-Billancourt",Métro 10 : Pont de Saint-Cloud / Tram (T2) : Parc de Saint-Cloud,01 46 05 18 20 http://www.cafe-desarts.com/,n/a,34mins
CAP SEGUIN,Boulogne-Billancourt,Fooding,Inventive cuisine dishes that continuously change depending on the market.,"Face au 24/26, quai Alphonse Le Gallo - Boulogne-Billancourt",Metro 10 : Boulogne Pont de Saint-Cloud,http://capseguin.com/,1993,44mins
CAPTIVE STUDIOS,Boulogne-Billancourt,Innovation,Prestataire pour les jeux vidéo,"90 rue d’Aguesseau<br/>92100 Boulogne-Billancourt",Line 10 : Boulogne Jean Jaures,"contact@captive-studio.com<br/>http://www.captive-studio.com/",2009,38mins
CIRQUE EN CHANTIER,Boulogne-Billancourt,"Spectacle Vivant, Education",cirque,"Ile Seguin BP 70030<br/>92100 Boulogne-Billancourt","Metro 9 : Pont de Sèvres, Billancourt, Marcel Sembat ou Porte de Saint-Cloud; Metro 10 : Pont de Saint-Cloud","http://cirqueenchantier.com/ Tel : 09 66 93 65 97<br/>administration@cirqueenchantier.com",2011,44mins
ESPACE LANDOWSKI (LES ATELIERS D’ARTS PLASTIQUES),Boulogne-Billancourt,"Cinema,  Arts Visuels",centre culturelle,"28, Avenue André Morizet, Boulogne 92100",Metro 9 : Marcel Sembat,,1951,41mins
FONDATION LOUIS VUITTON,Boulogne-Billancourt,Arts Visuels,A culture and art center which is built by Fondation Louis Vuitton to encourage the promotion of art.,"Bois de Boulogne/Jardin d'acclimatation Bois de Boulogne, 75116 Paris",Métro 1 : Les Sablons (Jardin d'acclimatation),info@fondationlouisvuitton.fr,2008,26mins
GALERIE MONDAPART,Boulogne-Billancourt,Arts Visuels,"la galerie MondapArt s'adresse aux collectionneurs, amateurs d'art et aux personnes désireuses d'aller à la rencontre de l'art vivant.","80 rue du Château <br/>92100 Boulogne Billancourt",Metro 10 : Boulougne Jean Jaurès,contact@mondapart.com  09 52 77 76 41,2007,37mins
L'HUMOUR EN CAPITALES,Boulogne-Billancourt,Spectacle Vivant,Festival,"86, rue Thiers 92100 Boulogne Billancourt",N/A,www.humourencapitales.com,2006,39mins
LE CARRE BELLE-FEUILLE,Boulogne-Billancourt,Spectacle Vivant,lieu de spectacles,"60, Rue de la Belle Feuille, 92100, Boulogne-Billancourt",Métro 9 : Marcel Sembat,01 55 18 54 00 www.boulognebillancourt.fr,2008,38mins R4,Boulogne-Billancourt,Arts Visuels,communauté vivante de l’art»,"1 place Paul Verlaine <br/>92100 Boulogne-Billancourt",Metro 9 : Pont de Sèvres,http://www.r4-ileseguin.com contact@r4-ileseguin.com,,41mins
THEATRE & VIE,Boulogne-Billancourt,"Spectacle Vivant, Education",theatre,"4, Square de l'Avre   92100  Adresse des cours : 11, rue de Clamart à Boulogne-Billancourt",RER C- Issy- Val de seine ou ligne 9 Marcel Sambat,01 46 20 01 07  -  06 80 07 18 15 theatretvie@free.fr,1995,42mins
VOZ'IMAGE,Boulogne-Billancourt,Arts Visuels,gallerie photographie,4 avenue du Maréchal Juin 92100 Boulogne Billancourt,"Métro 9 : Boulogne-Jean Jaurès<br/>Bus 52 : arrêt Rue Pasteur<br/>Bus 72 : arrêt Victor Hugo; Station vélib : 55 boulevard Jean Jaurès",01 41 31 40 55 http://www.vozgalerie.com/,2011,41mins
AU SUD DU NORD,Bouray-sur-Juine,"Spectacle Vivant,  Musique",organisation de concerts / festival et programmation,"55, rue Haute 91850 Bouray-sur-Juine","RER C--->Saint-Martin d'Etampes->Gare de Lardy<br/>direction La Montagne<br/>jusqu’à Renault",09 51 56 98 83 http://www.ausuddunord.fr http://www.facebook.com/ausuddunord,1994,1 h 29 min
CAC-BRÉTIGNY,Bretigny sur Orge,Arts Visuels,Centre d’art contemporain,"Espace Jules Verne, Rue Henri Douard 91220 Brétigny sur Orge",RER C Brétigny sur orge,info@cacbretigny.com(33) 01 60 85 20 76 www.cacbretigny.com/,,39mins
THEATRE DES OISEAUX,Buchelay,Spectacle Vivant,"Production et création de nombreux spectacles avec des artistes comédiens, musiciens, circassiens et danseurs.",Maison du village – Place Jules Trolliard – 78200 Buchelay,Train- Gare de buchelay,http://theatredesoiseaux.fr/ 01 30 94 51 64 theatredesoiseaux@wanadoo.fr,1994,1h17mins
CHATEAU VANDERBILT,Carrières-sous-Poissy,Innovation,"Artists in residence from various disciplines involving digital creation, networking amongst cultural actors and reviving the local territory and social fabric.","Rue Des Frères-tissier, CarriÈres-sous-poissy 78955",RER A :  Poissy,01 40 34 02 48,2014,42mins
ECOLE NATIONALE SUPERIEURE D'ARTS DE PARIS CERGY,Cergy,"Education, Arts Visuels",L'une des deux plus importante école d'Art du Grand Paris.,"2 Rue des Italiens, 95800 Cergy",RER A : Cergy Prefrecture,"http://www.ensapc.fr/ (0)1 30 30 54 44, accueil@ensapc.fr",1975,52mins
LE CARREAU,Cergy,Arts Visuels,"Lieu culturel, espace des arts visuels de la ville de Cergy","Avenue des Trois Fontaines<br/>Parking du Marché Neuf (rue aux Herbes)<br/>95 000 Cergy", RER A ou train SNCF (Saint-Lazare) : Cergy Préfecture,"Téléphone : 01 34 33 45 45<br/>E-mail : LeCarreau@ville-cergy.fr  http://www.ville-cergy.fr/culture-loisirs/lieux-culturels-et-de-spectacles/arts-visuels-le-carreau/",,1h03
VISAGES DU MONDE CERGY,Cergy,"Spectacle Vivant, Innovation","Nouveau lieu multi-fonctions sur Cergy le Haut, dédié aux arts urbains (danses actuelles), au multimédia et aux arts numériques.","10, Place du Nautilus, 95800, Cergy",RER A : Cergy Le Haut,01 34 33 47 50 benoit.boutinot@ville-cergy.fr http://www.ville-cergy.fr/culture-loisirs/lieux-culturels-et-de-spectacles/arts-numeriques-visages-du-monde/,2013,1h01
VIVA VELO,Cesson,Festival sustainable development,Discover how to keep in shape and also commute without polluting the environment.,"Avenue de la Zibeline<br/>77240 Cesson",RER D : Cesson,http://www.vivavelo.fr/ vivavelo2013@gmail.com,n/a,1h19mins
DOMAINE DE CHAMARANDE,Chamarande,"Arts Visuels, Education",un centre artistique et culturel,"38, rue du Commandant Arnoux<br/>91730 Chamarande","RER C : Chamarande, à 200m du Domaine",01 60 82 52 01 chamarande.essonne.fr/categorie/domaine/,2001,1h
LEXIS NUMERIQUE,Champs sur Marne,Education,Ecole pour les jeux vidéo,7 Rue Albert Einstein 77420 Champs-sur-Marne,RER A : Noisy Champs,"01 64 68 58 30 infolexis@numerique.fr<br/>http://www.lexis-numerique.fr",1990,45mins
DIGITAL PRODUCTIONS,Chatenay Malabry,Innovation,Editeur de jeux vidéo,"121, avenue de la division Leclerc<br/>92290 Châtenay-Malabry",RER B : La Croix de berny,"contact@digital-coproductions.com<br/>http://www.digital-coproductions.com/",2009,N/A
INCIDENT,Chatenay Malabry,Innovation,Experimental platform dedicated to net-art and digital arts.,78 rue Anatole France Chatenay-Malabry,RER B : Robinson,incident@incident.net 01 43 50 48 93 http://incident.net/,1994,44mins
ECOLE CENTRALE PARIS,Chatenay Malabry,Education,"Nuit des Troubadours, A festival showcasing musicians,street performers and street artists a part of Paris Centrale.","2 avenue Sully Prud'homme<br/>92290 Chatenay-Malabry",RER B : Croix de Berny (10 minutes à pied),"contact@nuitdestroubadours.com<br/>programmation@nuitdestroubadours.com www.nuitdestroubadours.com/",1994,28mins
CNEAI,Chatou,"Arts Visuels, Edition",dédié à l’œuvre média,"Ile des Impressionnistes  2 Rue du Bac, 78400 Chatou","RER A : Rueil-Malmaison<br/>sortir rue des 2 gares<br/>traverser le pont en direction de Chatou<br/>descendre à droite sur l'île des impressionnistes","33 (0) 139524535  <br/>cneai@cneai.com www.cneai.com/",1997,40mins
INFINIT GAME,Chaville,Innovation,Studio de jeux vidéo,"10, rue du Professeur Roux<br/>92370 Chaville",SNCF L- Chaville rive droite,"contact@serialscreener.com<br/>www.infinitgame.com",2011,53mins
BATTLE PRO,Chelles,Spectacle Vivant,50 danseurs s’affronteront au travers de différentes catégories dans un seul but : la Victoire. Plein feux sur la Line-Up !,"Complexe Sportif Maurice BaquetAvenue de l'Europe<br/>77500 Chelles, Ile-De-France, France<br/>Closed until Saturday 1:00 pm - 8:00 pm","RER E : Chelles Gournay<br/>Navette gratuite de la gare de Chelles au Gymnase de l'évènement (Maurice Baquet)","ontact@battle-pro.com<br/>Infoline : 01.64.21.24.64 www.battle-pro.com",1999,45mins
COSA NOSTRA,Chelles,Education,an indoor skate park,"18 rue du Tir<br/>77500<br/>Chelles<br/>France","RER E : Gare de Chelles<br/>- SNCF Gare de l'Est : Chelles/Gournay.<br/>- Bus : A la gare de Chelles, ligne de bus B ou bus R.A.T.P N°613 / Arrêt "" les 4 routes "".",01 64 72 14 04 http://www.cosanostraskatepark.net/,1999,32mins
LES EGLISES CENTRE D'ART CONTEMPORAIN,Chelles,Arts Visuels,entre d’art contemporain,"1 Rue Louis Eterlet, 77500 Chelles",navette accessible du bastille pour les vernissages,"33 (0)1 64 72 65 70 <br/>leseglises@chelles.fr http://leseglises.chelles.fr/",,44mins
EKO SYSTEM,Choisy-le-Roi,Education,Studio de jeux vidéo,"16, avenue Jean-Jaurès<br/>94600 Choisy le roi",RER C : Choisy le roi,"contact@ekosystem.com<br/>http://www.ekosystem.com/",1999,32mins
LE CENTRE D'ART ALBERT CHANOT,Clamart,"Spectacle Vivant, Arts Visuels",centre d'art,"33, rue Brissard<br/>92140 Clamart","7 min de la gare Paris-Montparnasse, arrêt Clamart<br/>10 min du métro Corentin Celton par le bus 189, arrêt Hebert<br/>10 min du périphérique par les portes de Versailles, Vanves et Brancion",01 47 36 05 89 entreartchanot@clamart.fr http://www.centrealbertchanot.com/,1980,48mins
LA ROMANTICA,Clichy,Food,Italain cuisine,"73, boulevard Jean Jaurès - Clichy",Line 12: Mairie de clichy,reservation@laromantica.fr  01 47 37 29 71,1990,30mins
PAVILLON VENDÔME CENTRE D'ART CONTEMPORAIN,Clichy,Arts Visuels,Galerie d'Art Contemporain. Commissariat d'exposition exigeant.,7 rue du Landy 92110 CLICHY,"Metro 13 : Mairie de Clichy, bus 54, 74, 138, 174, 274, 341, 340",http://www.ville-clichy.fr/382-le-pavillon-vendome-centre-d-art-contemporain.htm,,26mins
LE THÉÂTRE RUTEBEUF,Clichy,"Spectacle Vivant, Cinema",Le Rutebeuf est devenu une institution pluriculturelle incontournable et son aura s’étend de plus en plus au-delà de Clichy.,"18 Allée Léon Gambetta, 92110 Clichy",Metro 13 : Mairie de Clichy,01 47 15 98 50 http://www.ville-clichy.fr/275-le-theatre-rutebeuf.htm,1990,30mins
PAVILLON VENDOME- CENTRE D'ART CONTEMPORAIN DE CLICHY-LA-GARENNE,Clichy,"Arts Visuels, Cinema, Spectacle Vivant, Musique","créateur de lien social dédié au soutien des pratiques artistiques <br/>amateurs, au dialogue entre les cultures et les générations avec une programmation variée et gratuite.","3, Rue Du Docteur Calmette, Clichy-la-garenne 92110",ligne 13 : Mairie de Clichy,"Site : www.ville-clichy.fr/index.php?Rub=404<br/>Mail : espace-miller@ville-clichy.fr",n/a,24mins
COULEE VERTE,Colombes,Promenade,Cette promenade longue de 850m avec deux partie distincte,"La Coulée Verte, 107 bis rue des Monts Clairs",Train SNCF J (St.Lazare direction Ermont Eaubonne) : Colombes,couleeverte@mairie-colombes.fr ou 01 47 84 91 61 http://www.colombes.fr/espaces-verts/la-coulee-verte-un-espace-naturel-unique-374.html,N/A,39mins
GENIOUS,Colombes,Innovation,"Research,developments in new technologies<br/>Infrastructure and Production Expertise<br/>Automation and Computer Technology","6 à 20, avenue de l'Agent Sarre - 92700 Colombes",SNCF J : Colombes,http://www.genious.com/ 01 79 62 60 60 contact@genious.com,1983,35mins
LE CARRE DES CREATEUR,Colombes,"Education, Arts Visuels","Une association artistique et aussi Un espace d'expression Des expositions, ateliers, stages pour adultes et enfants","52, rue Denis Papin 92700 Colombes",SNCF Ligne 45 depuis Pont Cardinet (direction Nanterre-Universite) : Les Vallees,http://carredescreateur.canalblog.com/,n/a,42mins
THEATRE SIMONE SIGNORET,Conflans Sainte Honorine,"Spectacle Vivant, Musique","entre octobre et mai, des spectacles, des rencontres, des ateliers qui forment un parcours invitant au voyage et à la découverte dans un espace convivial.","12 place Auguste Romagné<br/>78700 CONFLANS-SAINTE-HONORINE",Conflans-Fin d'Oise,http://www.theatresimonesignoret.fr/ theatre.signoret@wanadoo.fr  01 34 90 90 90,n/a,41mins
JAZZ AU CONFLUENT,Conflans Ste Honorine,Musique,lieu du musique,"15 rue de loge Mathieu<br/>78700 CONFLANS STE HONORINE","Train SNCF J (gare Saint-Lazare<br/>direction Mantes-la-Jolie) : Conflans-Sainte-Honorine","Comité de programmation: <br/>fell.alan@wanadoo.fr",2002,1h08mins
ESPACE CARPEAUX,Courbevoie,"Cinema, Spectacle Vivant, Musique",espace multi-disciplinaire,15 boulevard Aristide Briand 92400 Courbevoie,"Bus : 275, 278, 163 et 164, arrêt Paix/Verdun<br/>Gares SNCF : Courbevoie ou Bécon-Les-Bruyères<br/>Métro 1, RER  A : Grande Arche de La Défense, puis bus.",01 46 67 70 00 http://www.sortiracourbevoie.com/Plan-acces/Espace-Carpeaux/1,n/a,42 min
IIM - INSTITUT DE L'INTERNET ET DU MULTIMEDIA,Courbevoie,"Education, Innovation",Ecole pour les jeux vidéo,"12 Avenue Léonard de Vinci, 92400 Courbevoie",Line 1- La Defense,"iim@devinci.fr<br/>http://www.iim.fr",1995,32mins
MAISON DES JONGLAGES,Courbevoie,Festival,A collection of artists and shows from all around the world,"Centre culturel Jean Houdremont<br/>11 Av Du Gal Leclerc - 93120 La Courneuve",RER B : Courneuve- Aubervilliers,"http://www.maisondesjonglages.fr/ 01.49.92.60.54<br/>infos.maison.jonglages@gmail.com",2008,30mins
L’ECOUTILLE,Courtry,"Musique, Cinema",lieu dediée au jazz,"97, rue Charles Van Wyngène<br/>77181 Courtry","SNCF P depuis Gare de l'Est<br/>direction Meaux<br/>jusqu’à Chelles Gournay","01 60 08 38 48 / 06 10 83 87 51<br/>Mail : lecoutille@lecoutille.com",2006,1 h 34 min
MAISON DES ARTS DE CRETEIL,Creteil,"Spectacle Vivant, Musique, Arts Visuels","theatre, dance, music and digital art. Festival NEMO, EXIT, de Film de Femmes, etc.","Place Salvador Allende<br/>Créteil<br/>94000",Métro 8 : Créteil - Préfecture Parking gratuit Hôtel de Ville en contrebas du théâtre,http://www.maccreteil.com/ 01 45 13 19 19 Communication 01 45 13 19 05,N/A,47mins
CENTRE DES ARTS D'ENGHIEN,Enghien,"Spectacle Vivant, Musique, Arts Visuels, Education",Véritable hub créatif transdisciplinaire autour des cultures digitales. Festival des Bains Numériques,12-16 rue de la Libération 95880,"Bus : 154, 256 De Paris Gare du Nord, Ligne H direction Pontoise ou Valmondois (15 min)<br/>De Pontoise, Ligne H direction Paris Gare du Nord (20 min)",01.30.10.85.59 www.cda95.fr,,39mins
LES FÊTES DE L'HIVER,Epinay Senart,Festival,"A festival dedicated to clowns and mimes with two plays ""The Wonderful Escape"" and Imagine Yourself.","Salle Georges Pompidou Rue De Rocheau, 91860 Epinay Sous Senart",RER D : Brunoy,http://www.ville-epinay-senart.fr 01.60.47.85.80,N/A,1h04mins
MUSIQUES AU COMPTOIR,Fontenay-sous-Bois,"Spectacle Vivant, Musique",lieu des concerts,"95 rue Roublot<br/>94120 Fontenay-sous-Bois","Métro 1 : Chateau de Vincennes<br/>puis BUS 118 depuis Avenue du Chateau, direction Van Derheyden<br/>jusqu’à Les Rigollots / RER A : Fontenay-sous-Bois, sortie Bd de Vincennes, Prendre la rue Emile Roux, puis la rue Dalayrac à gauche et la rue Roublot à droite","01 48 75 64 31 - 06 71 26 00 95 <br/>contact@musiquesaucomptoir.fr  http://www.musiquesaucomptoir.fr/infos.php",2001,38 min
ECOLE MUNICIPALE DES BEAUX ARTS / GALERIE EDOUARD MANET,Gennevilliers,"Arts Visuels, Education",Galerie d'Art Contemporain combinée à une école d'art contemporain. Commissariat d'exposition exigeant.,3 Place Jean Grandel 92230 Gennevilliers,Métro 13 : Gabriel Péri,01.40.85.67.40 www.ville-gennevilliers.fr embamanet@ville-gennevilliers.fr,1994,41mins
LE TAMANOIR,Gennevilliers,Musique,"scène conventionnée, lieu de musiques actuelles à Gennevilliers",27 avenue Lucette Mazalaigue - 92 230 Gennevilliers,"Métro 13 : Les Courtilles (15 minutes de Saint-Lazare), puis à pied 5 minutes.<br/>RER C : Gennevilliers, puis bus 166 ou 378, arrêt ""Luth"".",http://www.letamanoir.com/,,37mins
THEATRE DE GENNEVILLIERS,Gennevilliers,Spectacle Vivant,"""Art as Experience"" : Théâtre d'avant-garde dirigé par Pascal Rambert, exposition d'art contemporains, rencontres, workhops, café très sympathique.",41 avenue des Grésillons  92230 Gennevilliers,"Direction Asnières-Gennevilliers, station Gabriel Péri. Exit n°1 > then, follow Daniel Buren's arrows",www.theatre2gennevilliers.com +33 (0)1 41 32 26 10,2007,31mins
