"bandeau","vignette","NAME","CITY","KEYWORDS","DESCRIPTION","LOCATION","TRANSPORT","CONTACT","SINCE","TIME FROM CHATELET"
"asniere-sira-mad-agecny.jpg","asnieres-sira-madagency1.jpg","LA SIRA / MAD AGENCY","Asnières","Arts Visuels, Musique","La SIRA s’inscrit dans l’idée de faire le trait d’union entre Paris et sa banlieue à travers la culture. Collectif d'Artistes. Exposition, Fêtes electro, After parties.","6, Rue Louis Armand, 92600 Asnières","RER C - ‘Les Grésillons’","http://madagency.fr/ contact@madagency.com","2010","53mins"
"aubervilliers-festival-aubercail-5.jpg","","ESPACE FRANTERNITÉ - MAGIC MIRROR","Aubervilliers","Spectacle Vivant","Festival Aubercail : Come hum, sing, dance and twirl in the tent of the Festival des mots-dits."," 12 rue Madeleine Vionnet - 93300 Aubervilliers","Métro 12 - Front Populaire","http://www.aubercail.fr/infos_resa.php 09 66 90 75 95","2007","39mins"
"aubervilliers-festival-musiques-du-monde-2.jpg","","FESTIVAL MUSIQUES DU MONDE","Aubervilliers","Spectacle Vivant","Association entre plusieurs villes autour Paris.","4 Avenue de la Division Leclerc \n93300 Aubervilliers","","tel. 01 48 36 34 02 \ninfo@villesdesmusiquesdumonde.com \nMonday to Friday: 10h/18h","1997","33mins"
"","","PRINTEMPS MUSICAL","Aubervilliers","Festival","A festival dedicated to the arrival of spring through the patrimonial artform of organ music.","1 Rue de la Commune de Paris\nAubervilliers","RER B - La courneuve-Aubervilliers","http://www.aubervilliers.fr/actu90107.html  01 48 39 52 46 http://culture.aubervilliers.fr/2013/08/08/printemps-musical-2014/","2003","38mins"
"aubervilliers-la-semeuse.jpg","aubervilliers-la-semeuse-3.jpg","LABORATOIRES D'AUBERVILLIERS","Aubervilliers","Education, Innovation","Lieu de recherche et de \ncréation","41, rue Lécuyer\n93300 Aubervilliers","Métro 7 - Aubervilliers Pantin (4 chemins)","33(0)1 53 56 15 90\ninfo@leslaboratoires.org www.leslaboratoires.org","2001","32mins"
"aubervilliers-rozo-architecture.jpg","aubervilliers-rozo-architecture-5-copie.jpg","ROZO ARCHITECTURE","Aubervilliers","Architecture (urbanisme)","architecture,urbanism,paysage","2 rue chapon 93330","Mérto 7 - Aubervilliers","info@rozo-archi.com www.rozo-archi.fr/‎","2008","38mins"
"aubervilliers-theatre-de-la-commune-2.jpg","aubervilliers-theatre-de-la-commune-.jpg","THÉÂTRE DE LA COMMUNE","Aubervilliers","Spectacle Vivant","","41 rue Lécuyer, 93300 Aubervilliers","Métro 7 - Aubervilliers Pantin navette gratitute pour retouner a paris.","http://www.theatredelacommune.com/ 0)1.48.33.16.16","1960","34mins"
"aubervilliers-theatre-equestre-zingaro.jpg","aubervilliers-theatre-equestre-zingaro-3.jpg","THÉÂTRE EQUESTRE ZINGARO","Aubervilliers","","","","","","",""
"","","VILLA MAIS D'ICI","Aubervilliers","","Friche Culturelle de Proximité","77 rue des Cités - 93300 - Aubervilliers","Métro 7 -  Aubervilliers Pantin Quatre Chemins","administration@villamaisdici.org; Tel : 01 41 57 00 89","",""
"aulnay-sous-bois-le-cap-1.jpg","aulnay-sous-bois-le-cap-aulnay-sous-bois.jpg","LE CAP","Aulnay-sous-bois","Musique, Education, Spectacle Vivant","Le Cap, lieu de diffusion entièrement dédié aux musiques actuelles offre à découvrir une programmation éclectique et dynamique à travers la musique, la danse ou encore des spectacles jeunes publics.Le Cap est aussi un laboratoire d'expérimentations musicales,","56 rue Auguste Renoir\n93600 Aulnay-sous-Bois","Gare de Villepinte jusqu'a Tennis","01 48 66 40 38 \nlecap@aulnay-sous-bois.com www.aulnay-sous-bois.fr/culture/le-cap","2012","1h01"
"aulnay-sous-bois-le-cap-h20.jpg","aulnay-sous-bois-h20-festival-2.jpg","AUVERS'JAZZ","Auvers-sur-Oise","Spectacle Vivant, Musique","Festival de Jazz","Maison de L'Ile\nrue Marcel Martin\n95430 Auvers sur Oise","RER C - Pontoise. Correspondance à Pontoise direction Persan-Beaumont, arrêt à Auvers sur OIse.","01 34 48 00 10 : info@auversjazz.com http://www.auversjazz.com/","1991","1h04mins"
"auvers-sur-oise-auversjazz-au-fil-de-loise.jpg","auvers-sur-oise-auversjazz-1.jpg","FESTIVAL JAZZ AU FIL DE L'OISE","Auvers-sur-Oise","Musique","Festival de Jazz","8 D Les Plants Orange\n                                       95000 Cergy","RER A - Cergy-Prefecture","01 34 48 45 03 / 06 37 24 90 34  \ninfos@jafo95.com http://jafo95.wix.com/","1996","1h07"
"bagnolet-babs-galerie-02.jpg","bagnolet-babs-galerie.jpg","BABS GALERIE","Bagnolet","Arts Visuels","espace d'exposition artistique","83, rue Sadi Carnot BAGNOLET","Line 3 - Gallieni","06 52 58 57 42 https://www.facebook.com/Babsgalerie","2013","36mins"
"bagnolet-free-art-bureau.jpg","bagnolet-free-art-bureau.jpg","FREE ART BUREAU","Bagnolet","Innovation, Education","a non-profit foundation active in and promoting new practices in open culture.Research / Innovate / Create / Educate.","Nomade // La Fonderie de l'Image, 83 Avenue Gallieni, 93170 Bagnolet","","info@freeartbureau.org www.freeartbureau.org","2011","35mins"
"bagnolet-kosmopolite.jpg","bagnolet-kosmopolite.jpg","KOSMOPOLITE","Bagnolet","Arts Visuels","Festival international de graffiti","110 rue Sadi Carnot 93170 Bagnolet","","kosmo10ans@gmail.com, www.kosmo-art-tour.com/fr/paris.html","2002","35mins"
"bagnolet-lechangeur.jpg","bagnolet-lechangeur.jpg","THEATRE L'ECHANGEUR","Bagnolet","Spectacle vivant","un laboratoire où les artistes disposent de temps pour chercher, expérimenter et inventer sans obligation de production.","59, avenue du Général de Gaulle\n93170 BAGNOLET","Métro 3 : Gallieni\nBUS 76, 102, 318 / Gll de Gaulle\nVélib : rue du Château à 50m","http://www.lechangeur.org/ 01.43.62.71.20 info@lechangeur.org","1994","34mins"
"bagnolet-la-clinique-des-arts-bis-2.jpg","bagnolet-la-clinique-des-arts-bis.jpg","CLINQUE DES ARTS BIS","Bagnolet","Arts Visuels","La Clinique des Arts Bis est une plate-forme pluridisciplinaire de créations et de diffusion artistique. La programmation est libre, et nous soutenons des projets personnels et collectifs dans tous les domaines artistiques.","60 avenue Gambetta\n93170 Bagnolet","Metro 3 : Gallieni","07 61 43 36 41\nlacliniquedesartsbis@yahoo.fr","N/A","30mins"
"bagnolet-le-campus-fonderie-de-limage-les-puces-typo-02.jpg","bagnolet-le-campus-fonderie-de-limage-1-.jpg","CAMPUS FONDERIE DE L'IMAGE","Bagnolet","Education, Design, Arts Visuels, Innovation","A space to be trained for a career in visual communications and multimedia learning","80 rue Jules Ferry\n93170 Bagnolet","Métro 3 : Gallieni","http://www.campusfonderiedelimage.org/ contact@campusfonderiedelimage.org","1991","28mins"
"bobigny-canal-93-2.jpg","bobigny-canal-93-1-.jpg","CANAL 93","Bobigny","Musique, Education","Canal 93 est une salle dédiée aux Musiques Actuelles.(salle de spectacle, studio de repetition et danse,","63, avenue Jean Jaurès 93000 Bobigny","Métro 5 : Pablo Picasso\nTram T1 : Libération. \nBus 301 : Louise Michel, Bus 322 : Jean Jaurès , Bus 147 : La Folie Bus Nuit N13 et N45","http://www.canal93.net/","","1h01mins"
"bobigny-mc93-maison-de-la-culture-de-la-seine-saint-denis-1.jpg","bobigny-mc93-maison-de-la-culture-de-la-seine-saint-denis-1.jpg","MC93","Bobigny","Spectacle Vivant, Musique","Notre projet, c’est de rendre le monde visible, depuis la scène.","9 boulevard Lénine BP 71 / 93000 Bobigny","Metro 5 : Bobigny-Pablo-Picasso\nTram T1 : Hôtel de Ville de Bobigny","http://www.mc93.com/ contact@mc93.com 01 01 41 60 72 60","1980","55mins"
"bobigny-universite-13.jpg","bobigny-universite-13.jpg","UNIVERSITÉ PARIS 13","Bobigny","Education","Ecole pour les jeux vidéo","1, rue de Chablis\n93017 Bobigny","Tram 1 : Drancy Avenir","Tél. : 01 48 38 73 29\nsrc.iutbuniv@paris13.fr","2009",""
"boissy-le-chatel-galleria-continua-01.jpg","boissy-le-chatel-galleria-continua.jpg","GALLERIA CONTINUA","Boissy-le-Châtel","Arts Visuels","dédié à la création contemporaine","46 rue de la Ferté Gaucher\n77169 Boissy-le-Châtel","Train from Gare de l’Est to Coulommiers.Then bus exiting the station towards la Ferté Gaucher, stop : Moulin de Boissy / Chailly-Boissy-le-Châtel.","Tel. +33(0)1.64.203950\nlemoulin@galleriacontinua.fr http://www.galleriacontinua.com/","2007","2hours"
"boulogne-billancourt-aucomte.jpg","boulogne-billancourt-aucomte.jpg","AU COMTE","Boulogne-Billancourt","Fooding","Specializing in fine french cuisine.","9, av Jean-Baptiste Clément, 92100, Boulogne-Billancourt","Métro 10 : Boulogne-Jean-Jaures","01 46 03 47 27 http://aucomte.fr/ contact@aucomte.fr","n/a","40mins"
"boulogne-billancourt-bbmix-3.jpg","boulogne-billancourt-bbmix-3.jpg","BBMIX","Boulogne-Billancourt","Musique","secouer l’Ouest parisien avec sa programmation transversale et toujours surprenante.","Carré Belle-Feuille\n60 rue de la Belle-Feuille\n92100 Boulogne Billancourt","Métro 9 : Marcel Sembat","http://bbmix.org/ bbmix@mairie-boulogne-billancourt.fr","2005","37mins"
"boulogne-billancourt-cafe-des-arts.jpg","boulogne-billancourt-cafe-des-arts.jpg","CAFE DES ARTS","Boulogne-Billancourt","Arts Visuels, Fooding","A gallery space which also functions as a cafe.","7, ront point Rhin et Danube, 92100 Boulogne-Billancourt","Métro 10 : Pont de Saint-Cloud / Tram (T2) : Parc de Saint-Cloud","01 46 05 18 20 http://www.cafe-desarts.com/","n/a","34mins"
"boulogne-billancourt-cap-seguin.jpg","boulogne-billancourt-cap-seguin.jpg","CAP SEGUIN","Boulogne-Billancourt","Fooding","Inventive cuisine dishes that continuously change depending on the market.","Face au 24/26, quai Alphonse Le Gallo - Boulogne-Billancourt","Metro 10 : Boulogne Pont de Saint-Cloud","http://capseguin.com/","1993","44mins"
"boulogne-billancourt-captive-studio.jpg","boulogne-billancourt-captive-studio.jpg","CAPTIVE STUDIOS","Boulogne-Billancourt","Innovation","Prestataire pour les jeux vidéo","90 rue d’Aguesseau\n92100 Boulogne-Billancourt","Line 10 : Boulogne Jean Jaures","contact@captive-studio.com\nhttp://www.captive-studio.com/","2009","38mins"
"boulogne-billancourt-cirque-en-chantier.jpg","boulogne-billancourt-cirque-en-chantier.jpg","CIRQUE EN CHANTIER","Boulogne-Billancourt","Spectacle Vivant, Education","cirque","Ile Seguin\nBP 70030\n92100 Boulogne-Billancourt","Metro 9 : Pont de Sèvres, Billancourt, Marcel Sembat ou Porte de Saint-Cloud; Metro 10 : Pont de Saint-Cloud","http://cirqueenchantier.com/ Tel : 09 66 93 65 97\nadministration@cirqueenchantier.com","2011","44mins"
"boulogne-billancourt-espace-landowski-(les-ateliers-darts-plastiques).jpg","boulogne-billancourt-espace-landowski-(les-ateliers-darts-plastiques).jpg","ESPACE LANDOWSKI (LES ATELIERS D’ARTS PLASTIQUES)","Boulogne-Billancourt","Cinema,  Arts Visuels","centre culturelle","28, Avenue André Morizet, Boulogne 92100","Metro 9 : Marcel Sembat","","1951","41mins"
"boulogne-billancourt-fondation-louis-vuitton-2.jpg","boulogne-billancourt-fondation-louis-vuitton-2.jpg","FONDATION LOUIS VUITTON","Boulogne-Billancourt","Arts Visuels","A culture and art center which is built by Fondation Louis Vuitton to encourage the promotion of art.","Bois de Boulogne/Jardin d'acclimatation Bois de Boulogne, 75116 Paris","Métro 1 : Les Sablons (Jardin d'acclimatation)","info@fondationlouisvuitton.fr","2008","26mins"
"boulogne-billancourt-mondapart.jpg","boulogne-billancourt-mondapart.jpg","GALERIE MONDAPART","Boulogne-Billancourt","Arts Visuels","la galerie MondapArt s'adresse aux collectionneurs, amateurs d'art et aux personnes désireuses d'aller à la rencontre de l'art vivant.","80 rue du Château \n92100 Boulogne Billancourt","Metro 10 : Boulougne Jean Jaurès","contact@mondapart.com  09 52 77 76 41","2007","37mins"
"boulogne-billancourt-lhumour-en-capitales.jpg","boulogne-billancourt-lhumour-en-capitales.jpg","L'HUMOUR EN CAPITALES","Boulogne-Billancourt","Spectacle Vivant","Festival","86, rue Thiers 92100 Boulogne Billancourt","N/A","www.humourencapitales.com","2006","39mins"
"boulogne-billancourt-le-carre-belle-feuille-2-1.jpg","boulogne-billancourt-le-carre-belle-feuille-2-1.jpg","LE CARRE BELLE-FEUILLE","Boulogne-Billancourt","Spectacle Vivant","lieu de spectacles","60, Rue de la Belle Feuille, 92100, Boulogne-Billancourt","Métro 9 : Marcel Sembat","01 55 18 54 00 www.boulognebillancourt.fr","2008","38mins"
"boulogne-billancourt-r4-ileseguin-1.jpg","boulogne-billancourt-r4-ileseguin-1.jpg","R4","Boulogne-Billancourt","Arts Visuels","communauté vivante de l’art»","1 place Paul Verlaine \n92100 Boulogne-Billancourt","Metro 9 : Pont de Sèvres","http://www.r4-ileseguin.com contact@r4-ileseguin.com","","41mins"
"boulogne-billancourt-theatre-vie-2-.jpg","boulogne-billancourt-theatre-vie-1-.jpg","THEATRE & VIE","Boulogne-Billancourt","Spectacle Vivant, Education","theatre","4, Square de l'Avre   92100  Adresse des cours : 11, rue de Clamart à Boulogne-Billancourt","RER C- Issy- Val de seine ou ligne 9 Marcel Sambat","01 46 20 01 07  -  06 80 07 18 15 theatretvie@free.fr","1995","42mins"
"boulogne-billancourt-voz-image.jpg","boulogne-billancourt-voz-image.jpg","VOZ'IMAGE","Boulogne-Billancourt","Arts Visuels","gallerie photographie","4 avenue du Maréchal Juin 92100 Boulogne Billancourt","Métro 9 : Boulogne-Jean Jaurès\nBus 52 : arrêt Rue Pasteur\nBus 72 : arrêt Victor Hugo; Station vélib : 55 boulevard Jean Jaurès","01 41 31 40 55 http://www.vozgalerie.com/","2011","41mins"
"bouray-sur-juine-au-sud-du-nord-.jpg","bouray-sur-juine-au-sud-du-nord-.jpg","AU SUD DU NORD","Bouray-sur-Juine","Spectacle Vivant,  Musique","organisation de concerts / festival et programmation","55, rue Haute 91850 Bouray-sur-Juine","RER C--->Saint-Martin d'Etampes->Gare de Lardy\ndirection La Montagne\njusqu’à Renault","09 51 56 98 83 http://www.ausuddunord.fr http://www.facebook.com/ausuddunord","1994","1 h 29 min"
"bretigny-sur-orge-cac.jpg","bretigny-sur-orge-cac-2.jpg","CAC-BRÉTIGNY","Bretigny sur Orge","Arts Visuels","Centre d’art contemporain","Espace Jules Verne, Rue Henri Douard 91220 Brétigny sur Orge","RER C Brétigny sur orge","info@cacbretigny.com(33) 01 60 85 20 76 www.cacbretigny.com/","","39mins"
"buchelay-theatre-des-oiseaux.jpg","","THEATRE DES OISEAUX","Buchelay","Spectacle Vivant","Production et création de nombreux spectacles avec des artistes comédiens, musiciens, circassiens et danseurs.","Maison du village – Place Jules Trolliard – 78200 Buchelay","Train- Gare de buchelay","http://theatredesoiseaux.fr/ 01 30 94 51 64 theatredesoiseaux@wanadoo.fr","1994","1h17mins"
"carrieres-sous-poissy-chateau-vanderbilt-2.jpg","carrieres-sous-poissy-chateau-vanderbilt-2.jpg","CHATEAU VANDERBILT","Carrières-sous-Poissy","Innovation","Artists in residence from various disciplines involving digital creation, networking amongst cultural actors and reviving the local territory and social fabric.","Rue Des Frères-tissier, CarriÈres-sous-poissy 78955","RER A :  Poissy","01 40 34 02 48","2014","42mins"
"cergy-ecole-nationale-superieure-darts-de-paris-cergy-2.jpg","cergy-ecole-nationale-superieure-darts-de-paris-cergy-2.jpg","ECOLE NATIONALE SUPERIEURE D'ARTS DE PARIS CERGY","Cergy","Education, Arts Visuels","L'une des deux plus importante école d'Art du Grand Paris.","2 Rue des Italiens, 95800 Cergy","RER A : Cergy Prefrecture","http://www.ensapc.fr/ (0)1 30 30 54 44, accueil@ensapc.fr","1975","52mins"
"cergy-le-carreau.jpg","cergy-le-carreau.jpg","LE CARREAU","Cergy","Arts Visuels","Lieu culturel, espace des arts visuels de la ville de Cergy","Avenue des Trois Fontaines\nParking du Marché Neuf (rue aux Herbes)\n95 000 Cergy"," RER A ou train SNCF (Saint-Lazare) : Cergy Préfecture","Téléphone : 01 34 33 45 45\nE-mail : LeCarreau@ville-cergy.fr  http://www.ville-cergy.fr/culture-loisirs/lieux-culturels-et-de-spectacles/arts-visuels-le-carreau/","","1h03"
"cergy-visages-du-monde-2.jpg","cergy-visages-du-monde-2.jpg","VISAGES DU MONDE CERGY","Cergy","Spectacle Vivant, Innovation","Nouveau lieu multi-fonctions sur Cergy le Haut, dédié aux arts urbains (danses actuelles), au multimédia et aux arts numériques.","10, Place du Nautilus, 95800, Cergy","RER A : Cergy Le Haut","01 34 33 47 50 benoit.boutinot@ville-cergy.fr http://www.ville-cergy.fr/culture-loisirs/lieux-culturels-et-de-spectacles/arts-numeriques-visages-du-monde/","2013","1h01"
"cesson-viva-velo-.jpg","cesson-viva-velo-.jpg","VIVA VELO","Cesson","Festival sustainable development","Discover how to keep in shape and also commute without polluting the environment.","Avenue de la Zibeline\n77240 Cesson","RER D : Cesson","http://www.vivavelo.fr/ vivavelo2013@gmail.com","n/a","1h19mins"
"chamarande-domaine-de-chamarande-1.jpg","chamarande-domaine-de-chamarande-1.jpg","DOMAINE DE CHAMARANDE","Chamarande","Arts Visuels, Education","un centre artistique et culturel","38, rue du Commandant Arnoux\n91730 Chamarande","RER C : Chamarande, à 200m du Domaine","01 60 82 52 01 chamarande.essonne.fr/categorie/domaine/","2001","1h"
"champs-sur-marne-lexis-numerique.jpg","champs-sur-marne-lexis-numerique.jpg","LEXIS NUMERIQUE","Champs sur Marne","Education","Ecole pour les jeux vidéo","7 Rue Albert Einstein 77420 Champs-sur-Marne","RER A : Noisy Champs","01 64 68 58 30 infolexis@numerique.fr\nhttp://www.lexis-numerique.fr","1990","45mins"
"chatenay-malabry-digital-productions.jpg","chatenay-malabry-digital-productions.jpg","DIGITAL PRODUCTIONS","Chatenay Malabry","Innovation","Editeur de jeux vidéo","121, avenue de la division Leclerc\n92290 Châtenay-Malabry","RER B : La Croix de berny","contact@digital-coproductions.com\nhttp://www.digital-coproductions.com/","2009","N/A"
"chatenay-malabry-incident.jpg","","INCIDENT","Chatenay Malabry","Innovation","Experimental platform dedicated to net-art and digital arts.","78 rue Anatole France Chatenay-Malabry","RER B : Robinson","incident@incident.net 01 43 50 48 93 http://incident.net/","1994","44mins"
"chatenay-malabry-la-nuit-de-troubadours-1.jpg","chatenay-malabry-la-nuit-de-troubadours-1.jpg","ECOLE CENTRALE PARIS","Chatenay Malabry","Education","Nuit des Troubadours, A festival showcasing musicians,street performers and street artists a part of Paris Centrale.","2 avenue Sully Prud'homme\n92290 Chatenay-Malabry","RER B : Croix de Berny (10 minutes à pied)","contact@nuitdestroubadours.com\nprogrammation@nuitdestroubadours.com www.nuitdestroubadours.com/","1994","28mins"
"chatou-cneai.jpg","chatou-cneai.jpg","CNEAI","Chatou","Arts Visuels, Edition","dédié à l’œuvre média","Ile des Impressionnistes  2 Rue du Bac, 78400 Chatou","RER A : Rueil-Malmaison\nsortir rue des 2 gares\ntraverser le pont en direction de Chatou\ndescendre à droite sur l'île des impressionnistes","33 (0) 139524535  \ncneai@cneai.com www.cneai.com/","1997","40mins"
"chaville-infinit-game.jpg","chaville-infinit-game.jpg","INFINIT GAME","Chaville","Innovation","Studio de jeux vidéo","10, rue du Professeur Roux\n92370 Chaville","SNCF L- Chaville rive droite","contact@serialscreener.com\nwww.infinitgame.com","2011","53mins"
"chelles-battle-pro-1.jpg","chelles-battle-pro-1.jpg","BATTLE PRO","Chelles","Spectacle Vivant","50 danseurs s’affronteront au travers de différentes catégories dans un seul but : la Victoire. Plein feux sur la Line-Up !","Complexe Sportif Maurice BaquetAvenue de l'Europe\n77500 Chelles, Ile-De-France, France\nClosed until Saturday 1:00 pm - 8:00 pm","RER E : Chelles Gournay\nNavette gratuite de la gare de Chelles au Gymnase de l'évènement (Maurice Baquet)","ontact@battle-pro.com\nInfoline : 01.64.21.24.64 www.battle-pro.com","1999","45mins"
"chelles-cosa-nostra-2.jpg","chelles-cosa-nostra-2.jpg","COSA NOSTRA","Chelles","Education","an indoor skate park","18 rue du Tir\n77500\nChelles\nFrance","RER E : Gare de Chelles\n- SNCF Gare de l'Est : Chelles/Gournay.\n- Bus : A la gare de Chelles, ligne de bus B ou bus R.A.T.P N°613 / Arrêt " les 4 routes ".","01 64 72 14 04 http://www.cosanostraskatepark.net/","1999","32mins"
"chelles-les-eglises.jpg","chelles-les-eglises.jpg","LES EGLISES CENTRE D'ART CONTEMPORAIN","Chelles","Arts Visuels","entre d’art contemporain","1 Rue Louis Eterlet, 77500 Chelles","navette accessible du bastille pour les vernissages","33 (0)1 64 72 65 70 \nleseglises@chelles.fr http://leseglises.chelles.fr/","","44mins"
"choisy-le-roi-eko-system.jpg","choisy-le-roi-eko-system.jpg","EKO SYSTEM","Choisy-le-Roi","Education","Studio de jeux vidéo","16, avenue Jean-Jaurès\n94600 Choisy le roi","RER C : Choisy le roi","contact@ekosystem.com\nhttp://www.ekosystem.com/","1999","32mins"
"clamart-centre-dart-albert-chanot-.jpg","clamart-centre-dart-albert-chanot-.jpg","LE CENTRE D'ART ALBERT CHANOT","Clamart","Spectacle Vivant, Arts Visuels","centre d'art","33, rue Brissard\n92140 Clamart","7 min de la gare Paris-Montparnasse, arrêt Clamart\n10 min du métro Corentin Celton par le bus 189, arrêt Hebert\n10 min du périphérique par les portes de Versailles, Vanves et Brancion","01 47 36 05 89 entreartchanot@clamart.fr http://www.centrealbertchanot.com/","1980","48mins"
"clichy-la-romantica-1.jpg","clichy-la-romantica-1.jpg","LA ROMANTICA","Clichy","Food","Italain cuisine","73, boulevard Jean Jaurès - Clichy","Line 12: Mairie de clichy","reservation@laromantica.fr  01 47 37 29 71","1990","30mins"
"clichy-pavillon-vendome-centre-dart-contemporain-de-clichy-la-garenne.jpg","clichy-pavillon-vendome-centre-dart-contemporain-de-clichy-la-garenne.jpg","PAVILLON VENDÔME CENTRE D'ART CONTEMPORAIN","Clichy","Arts Visuels","Galerie d'Art Contemporain. Commissariat d'exposition exigeant.","7 rue du Landy 92110 CLICHY","Metro 13 : Mairie de Clichy, bus 54, 74, 138, 174, 274, 341, 340","http://www.ville-clichy.fr/382-le-pavillon-vendome-centre-d-art-contemporain.htm","","26mins"
"clichy-le-theatre-rutebeuf-2.jpg","clichy-le-theatre-rutebeuf-2.jpg","LE THÉÂTRE RUTEBEUF","Clichy","Spectacle Vivant, Cinema","Le Rutebeuf est devenu une institution pluriculturelle incontournable et son aura s’étend de plus en plus au-delà de Clichy.","18 Allée Léon Gambetta, 92110 Clichy","Metro 13 : Mairie de Clichy","01 47 15 98 50 http://www.ville-clichy.fr/275-le-theatre-rutebeuf.htm","1990","30mins"
"","","PAVILLON VENDOME- CENTRE D'ART CONTEMPORAIN DE CLICHY-LA-GARENNE","Clichy","Arts Visuels, Cinema, Spectacle Vivant, Musique","créateur de lien social dédié au soutien des pratiques artistiques \namateurs, au dialogue entre les cultures et les générations avec une programmation variée et gratuite.","3, Rue Du Docteur Calmette, Clichy-la-garenne 92110","ligne 13 : Mairie de Clichy","Site : www.ville-clichy.fr/index.php?Rub=404\nMail : espace-miller@ville-clichy.fr","n/a","24mins"
"colombes-coulee-verte.jpg","colombes-coulee-verte.jpg","COULEE VERTE","Colombes","Promenade","Cette promenade longue de 850m avec deux partie distincte","La Coulée Verte, 107 bis rue des Monts Clairs","Train SNCF J (St.Lazare direction Ermont Eaubonne) : Colombes","couleeverte@mairie-colombes.fr ou 01 47 84 91 61 http://www.colombes.fr/espaces-verts/la-coulee-verte-un-espace-naturel-unique-374.html","N/A","39mins"
